Date,Value
31-Dec-82,3.00%
31-Dec-83,
31-Dec-84,
31-Dec-85,2.20%
31-Dec-86,2.70%
31-Dec-87,
31-Dec-88,2.80%
31-Dec-89,2.80%
31-Dec-90,
31-Dec-91,6.20%
31-Dec-92,2.80%
31-Dec-93,3.11%
31-Dec-94,3.64%
31-Dec-95,3.92%
31-Dec-96,4.86%
31-Dec-97,4.68%
31-Dec-98,5.46%
31-Dec-99,6.36%
31-Dec-00,6.08%
31-Dec-01,6.08%
31-Dec-02,6.60%
31-Dec-03,6.66%
31-Dec-04,7.30%
31-Dec-05,7.94%
31-Dec-06,7.55%
31-Dec-07,8.06%
31-Dec-08,7.21%
31-Dec-09,6.11%
31-Dec-10,5.61%
31-Dec-11,5.15%
31-Dec-12,4.47%
31-Dec-13,4.34%
31-Dec-14,4.05%
31-Dec-15,4.51%
31-Dec-16,4.30%
31-Dec-17,3.78%
31-Dec-18,4.39%
31-Dec-19,3.59%
31-Dec-20,4.26%
31-Dec-21,3.83%
31-Dec-22,3.46%
31-Dec-23,3.31%
31-Dec-24,3.30%
